userName,content,score,at
Pengguna Google,"aku pengguna lama by.u, tapi kok lama kelamaan aku ngerasa by.u itu jaringannya AGAK kurang stabil ya? kalo buat sosmed an enak"" aja sih, enggak begitu kerasa jaringan kurang stabilnya,kalo dipake untuk nge-game baru agak berasa,kadang ngeganggu banget,waktu pertama kali pake by.u itu jaringannya bener"" poll loh. jarang sekali yg namanya penurunan jaringan,tapi ya gitu,mohon maaf,sekarang jaringan by.u agak kurang menurutku",4,2025-05-01 14:10:47
Pengguna Google,"untuk jaringan by.u nya sih bagus cuman kalau untuk diaplikasi nya sudah mulai kendor untuk transaksinya, dulunya bisa melakukan transfer melalui akun virtual bank dan sekarang hanya bisa melalui ewallet doang itu kalau boleh kembalikan seperti dulu, dan tambahin untuk metode pembayarannya melalui QRIS. kedua, untuk android versi +12 susah menggunakan aplikasi by.u, seperti saya baru unduh aplikasi by.u di android 12, tidak dapat. terdapat tulisan ""Perangkat keras aman tidak tersedia""",3,2025-05-12 19:38:54
Pengguna Google,"Makin kesini byu makin ga bagus,aplikasi sering ga bisa di buka,komplain respon lambat, proses lama kadang nunggu lama,giliran keluar aplikasi ada balesan,masuk aplikasi hilang lagi cs nya kayak sengaja gitu, tidak ada penyelesaian, di notif kendala sudah selesai tapi masalah nya masih terjadi, cs nya pun kadang ganti ganti di satu chat, parah, chat cs di aplikasi sinyal bagus paket ada mode data atau pake wifi juga susah, parah, jwbn anak SD dari cs&develover cmn nunjukin ketololan nya.",1,2025-04-23 11:17:48
Pengguna Google,"Aplikasinya sebenarnya bagus, banyak pilihan kuota yang menarik juga. Tapi minusnya jaringannya, kadang suka hilang atau lambat banget, padahal gaada gangguan sama sekali, sudah coba ganti jenis jaringan pun tetap aja jaringannya lambat. Mohon kedepannya ini lebih diperhatikan lagi karena jujur perkara jaringan ini sangat menggangu, apalagi kalau perlu ngerjain sesuatu yang penting tapi jaringannya malah lambat. Mungkin itu aja, makasih ya",3,2025-05-16 14:15:18
Pengguna Google,"pake by u lumayan lama tapi sampe sekarang belum ada peningkatan jaringan aja, kalau di kota yahh bagus soalnya dapet 5G nya, tapi kalau di lingkungan rumah? maen game ping nya 108ms mulu sering ping merahh, gak pernah tuh maen game ampe ping hijau dari dulu gini mulu cuman cocok buat maen youtube doank itupun otomatis resolusi nya jadi 360p an, kek nya emang harus maen sekitaran kota doank",3,2025-05-03 16:20:23
Pengguna Google,"gak jelas ni provider lama"" , makin lama bukan makin bagus malah makin gk stabil , jaringan susah , masa udh airplane mode , ubah manual masih aja sama lag parah , balok penuh tp gk bisa di pake , pake yg lain aja , percuma murah paket puluhan gb tp reconnect"" gk jelas , user udh banyak bukan makin update dan di perbaiki malah makin bobrok",1,2025-05-10 03:03:59
Pengguna Google,"Dari semua ulasan sama aja masalah sinyal, Rating bintang 5 pun masalah nya cuma sinyal, oke kalau harga paket cukup murah Yang dipermasalahkan cuma sinyal saja Dan gak tau kenapa aplikasi by u gk bs dibuka dan keluar sendiri, Mohon Diperbaiki untuk Sinyal yang kadang 2 tidak stabil,",3,2025-05-15 21:18:52
Pengguna Google,"Saya ingin menyampaikan kekecewaan saya terhadap layanan BY.U. Saya sudah melakukan pembayaran untuk kartu SIM dan memilih opsi pengambilan di tempat. Namun, saat saya datang ke lokasi yang ditentukan, tempat tersebut ternyata tutup dan sudah tidak beroperasi lagi. Tidak ada pemberitahuan sebelumnya, baik melalui email, SMS, atau aplikasi. Hal ini sangat mengecewakan dan merugikan, karena saya sudah meluangkan waktu dan tenaga untuk datang ke lokasi tersebut.",1,2025-05-19 15:42:04
Pengguna Google,"pengiriman lama dan ada terkendala (entah kendalanya apa) katanya di jnt ada masalah jd dialihkan ke jne tp penanganan pengaduannya juga lama. aktivasinya sempat terhambat karena jaringan tidak tersambung terus. overall jaringannya stabil, tp pelayanan admin online nya kurang cepat.",3,2025-05-12 14:03:17
Pengguna Google,"gabisa masuk ke aplikasi padahal mau cek kuota tinggal berapa, belum sampai masuk tiba² keluar sendiri. udah di hapus cache, restart hp, sampe download ulang apk juga. selain itu, tiba² pas lagi zoom gaada sinyal sama sekali. duh gimana sih. padahal saya user baru tp lumayan kecewa",2,2025-05-09 22:24:12
Pengguna Google,mengapa setelah saya update aplikasi bayu...saya jadi tidak bisa buka aplikasinya setelah masuk langsung keluar sendiri padahal sebelum di update tidak pernah terjadi seperti ini....kenapa tidak kunjung di perbaiki....gimana mau chat via aplikasi sedangkan aplikasinya saja gabisa dibuka...aplikasinya aneh memang,1,2025-04-28 08:50:18
