content,at
"revisi ulasan sebelumnya tentang keluhan tidak dapat login, saya coba ubah setingan di hp dan coba uninstall byu, dwnload ulang, mulai ulang hp, beberapa kali masih gagal, saya coba lagi alhamdulillah bisa berhasil nerobos masuk, langsung proses beli isi data paket 1 bulan dan berhasil, setelah selesai saya coba ulang masuk sudah bisa, semoga dilain waktu proses masuk ke byu lancar seperti sebelumnya, saat masuk ke byu loading nya cukup lama ya..apa ada solusinya tks",2025-06-11 03:14:28
"Sudah bagus sih, namun tolong optimasi lagi mengenai jaringan. Soalnya kadang lancar banget kadang lebih buruk dari wilayah yang jauh dari kota. Sedikit saran juga, tolong opsi penukaran U coin bisa di combo dengan pulsa. Seperti fitur di my IM3, sesekali mampir lah ke aplikasi provider lain..toh nggak ada ruginya bagi pihak by.u kalau pakai metode ini. Jadi ada 2 opsi penukaran, 1 murni u coin, 1 lagi combo dengan pulsa.",2025-05-28 09:29:09
"Sering error, tolong diperbaiki Setiap transaksi apa pun selalu error suka keluar sendiri. Appnya lemot, padahal signal/jaringan bagus, tolong lebih diperhatikan lagi tahun pertama gua pke doang jaringan by. u bagus, setelahny jaringan nya ga karuan sering ngelag, sampai hari ini. bisa ga sih di perbaiki gtu? ini mah bikin pengguna terganggu dan sangat tidak nyaman,",2025-06-08 00:29:33
"Posisi saya di kota bandung Makin kesini kwalitas sinyal internet nya makin jelek, apalagi pas hujan makin RUNGKAD !!!!! malah sekarang harga paketnya jadi naik dan mahal sementara kwalitas sinyalnya tetap lemot ga ada perubahan signifikan ribet harus mode pesawat dulu, restart dulu. provider lain ga begitu seribet byu",2025-06-05 16:48:38
"untuk pihak by.u tolong di tingkatkan lagi ya jaringan nya, jika di kota sinyalnya bagus sih buka apa aja cepet tapi kalo di rumah terutama rumah bertingkat parah banget kalo bukan di kota, saya pagi mau denger lagu gak bisa, chat org gak masuk dari WhatsApp, notif YouTube juga gak masuk, gak bisa goggle an, jaringan terlalu jelek, plis lah aku pengguna by.u lama tapi ini kecewa banget, 3 hari begini terus, untung deket tempat sy banyak wifi jadi bisa sy pakai, mohon tanggapan perbaikan nya !!!!",2025-05-30 17:24:58
"saya pengguna by.U sudah hampir cukup lama, Kecewa banget dengan jaringan by.U sekarang ini, ingin buka sosmed aja loading nya lama banget, apalagi buat game bener2 ga karuan sinyal nya, mohon untuk di perbaiki kedepannya, kalau masih seperti ini terus bakalan pindah ke provider lain yg jauh lebih bagus walaupun harga paket data mahal tetapi jaringan support itu yg di cari.. mohon di bantu dan di perbaiki kedepannya, terimakasih.",2025-05-25 08:30:53
"Yang bikin aplikasi pakai by.u gak??? gak pernah di coba sendiri apa ini aplikasi di buka susah banget, cuma mau denger podcast atau music oading lama banget... kalian coba sendiri deh buka & test sensiri apk nya... di hp kentang eror terus, di note 13 juga lama loadingnya",2025-05-28 20:41:21
"kenapa sekarang pas buka aplikasi by.u sering terjadi kesalahan? terus dari jaringan nya juga tidak seperti biasanya,untuk sinyal full tapi pas main data seluler jaringan nya sangat jelek,kadang harus nunggu lama, sangat kecewa dengan by.u sekarang. mohon untuk diperbaiki🙏 karena saya pelanggan setia by.u",2025-06-02 13:13:50
"Aplikasinya sebenarnya bagus, banyak pilihan kuota yang menarik juga. Tapi minusnya jaringannya, kadang suka hilang atau lambat banget, padahal gaada gangguan sama sekali, sudah coba ganti jenis jaringan pun tetap aja jaringannya lambat. Mohon kedepannya ini lebih diperhatikan lagi karena jujur perkara jaringan ini sangat menggangu, apalagi kalau perlu ngerjain sesuatu yang penting tapi jaringannya malah lambat. Mungkin itu aja, makasih ya",2025-05-16 14:15:18
"Makin kesini byu makin ga bagus,aplikasi sering ga bisa di buka,komplain respon lambat, proses lama kadang nunggu lama,giliran keluar aplikasi ada balesan,masuk aplikasi hilang lagi cs nya kayak sengaja gitu, tidak ada penyelesaian, di notif kendala sudah selesai tapi masalah nya masih terjadi, cs nya pun kadang ganti ganti di satu chat, parah, chat cs di aplikasi sinyal bagus paket ada mode data atau pake wifi juga susah, parah, jwbn anak SD dari cs&develover cmn nunjukin ketololan nya.",2025-04-23 11:17:48
"aku pengguna lama by.u, tapi kok lama kelamaan aku ngerasa by.u itu jaringannya AGAK kurang stabil ya? kalo buat sosmed an enak"" aja sih, enggak begitu kerasa jaringan kurang stabilnya,kalo dipake untuk nge-game baru agak berasa,kadang ngeganggu banget,waktu pertama kali pake by.u itu jaringannya bener"" poll loh. jarang sekali yg namanya penurunan jaringan,tapi ya gitu,mohon maaf,sekarang jaringan by.u agak kurang menurutku",2025-05-01 14:10:47
"baru di isi data 3gb di pakai cuman 3 hari tapi data tiba"" udah habis pemakaian gak sampai 3gb loh. TPI tiba"" tinggal 0 data nya. aneh. tolong di perbaiki. ini gangguan apa memang di sengaja. udah 2 x kejadian ini. pemakaian data saja saya sering pakai wifi..",2025-05-24 09:14:14
"Aplikasinya sering bermasalah, data dihidupkan kadang tidak bisa masuk coba provider lain bisa masuk yang ini enggak, nampilin iklan tetapi tidak memberikan tombol X, respon fitur loadingnya kelamaan, dan aplikasi udah kayak test Benchmark hp. itu saja masukan dari saya",2025-04-09 09:30:00
"Saya ingin menyampaikan kekecewaan saya terhadap layanan BY.U. Saya sudah melakukan pembayaran untuk kartu SIM dan memilih opsi pengambilan di tempat. Namun, saat saya datang ke lokasi yang ditentukan, tempat tersebut ternyata tutup dan sudah tidak beroperasi lagi. Tidak ada pemberitahuan sebelumnya, baik melalui email, SMS, atau aplikasi. Hal ini sangat mengecewakan dan merugikan, karena saya sudah meluangkan waktu dan tenaga untuk datang ke lokasi tersebut.",2025-05-19 15:42:04
"pake by u lumayan lama tapi sampe sekarang belum ada peningkatan jaringan aja, kalau di kota yahh bagus soalnya dapet 5G nya, tapi kalau di lingkungan rumah? maen game ping nya 108ms mulu sering ping merahh, gak pernah tuh maen game ampe ping hijau dari dulu gini mulu cuman cocok buat maen youtube doank itupun otomatis resolusi nya jadi 360p an, kek nya emang harus maen sekitaran kota doank",2025-05-03 16:20:23
