text,topic,probability,topic_label
aku pengguna lama byu kok lama kelamaan aku ngerasa byu jaringannya kurang stabil kalo buat sosmed enak sih enggak kerasa jaringan kurang stabilnya kalo dipake ngegame baru berasa kadang ngeganggu banget waktu pertama kali pake byu jaringannya bener poll loh jarang sekali yg namanya penurunan jaringan gitu mohon maaf sekarang jaringan byu kurang menurutku,0,1.0,0_aplikasi_game_buka_jaringan
jaringan byu sih bagus cuman kalau diaplikasi mulai kendor transaksinya melakukan transfer melalui akun virtual bank sekarang melalui ewallet doang kalau kembalikan dulu tambahin metode pembayarannya melalui qris kedua android versi susah menggunakan aplikasi byu baru unduh aplikasi byu android terdapat tulisan perangkat keras aman tersedia,8,0.4039266449766626,8_virtual_account_bca_pembayaran
makin kesini byu makin ga bagus aplikasi sering ga buka komplain respon lambat proses lama kadang nunggu lama giliran keluar aplikasi balesan masuk aplikasi hilang cs kayak sengaja gitu penyelesaian notif kendala selesai masalah terjadi cs kadang ganti ganti satu chat parah chat cs aplikasi sinyal bagus paket mode data pake wifi susah parah jwbn anak sd csdevelover cmn nunjukin ketololan,-1,0.37411883458600714,-1_jaringan_kuota_sinyal_yg
aplikasinya sebenarnya bagus banyak pilihan kuota menarik minusnya jaringannya kadang suka hilang lambat banget padahal gaada gangguan sama sekali coba ganti jenis jaringan tetap jaringannya lambat mohon kedepannya lebih diperhatikan jujur perkara jaringan sangat menggangu kalau perlu ngerjain penting jaringannya malah lambat mungkin makasih,-1,0.2800291721951426,-1_jaringan_kuota_sinyal_yg
pake byu lumayan lama sampe sekarang peningkatan jaringan kalau kota yahh bagus soalnya dapet g kalau lingkungan rumah maen game ping ms mulu sering ping merahh gak pernah tuh maen game ampe ping hijau dulu gini mulu cuman cocok buat maen youtube doank itupun otomatis resolusi jadi p kek emang maen sekitaran kota doank,0,0.33929699797672036,0_aplikasi_game_buka_jaringan
gak jelas ni provider lama makin lama bukan makin bagus malah makin gk stabil jaringan susah masa udh airplane mode ubah manual sama lag parah balok penuh tp gk pake pake yg percuma murah paket puluhan gb tp reconnect gk jelas user udh banyak bukan makin update perbaiki malah makin bobrok,0,0.5041464832724698,0_aplikasi_game_buka_jaringan
semua ulasan sama masalah sinyal rating bintang masalah cuma sinyal oke kalau harga paket cukup murah dipermasalahkan cuma sinyal gak tau aplikasi byu gk bs dibuka keluar sendiri mohon diperbaiki sinyal kadang stabil,2,0.47666400849894286,2_sinyal_sinyalnya_ilang_hilang
menyampaikan kekecewaan layanan byu melakukan pembayaran kartu sim memilih opsi pengambilan tempat datang lokasi ditentukan tempat tersebut ternyata tutup beroperasi pemberitahuan sebelumnya baik melalui email sms aplikasi sangat mengecewakan merugikan meluangkan waktu tenaga datang lokasi tersebut,1,0.363224622965116,1_kartu_pembayaran_beli_sim
pengiriman lama terkendala entah kendalanya apa katanya jnt masalah jd dialihkan jne tp penanganan pengaduannya lama aktivasinya sempat terhambat jaringan tersambung terus overall jaringannya stabil tp pelayanan admin online kurang cepat,-1,0.39686611833572755,-1_jaringan_kuota_sinyal_yg
gabisa masuk aplikasi padahal mau cek kuota tinggal berapa masuk tiba keluar sendiri udah hapus cache restart hp sampe download ulang tiba pas zoom gaada sinyal sama sekali duh gimana sih padahal user baru tp lumayan kecewa,0,0.49240520611202165,0_aplikasi_game_buka_jaringan
update aplikasi bayu jadi buka aplikasinya masuk langsung keluar sendiri padahal update pernah terjadi kunjung perbaiki gimana mau chat via aplikasi aplikasinya gabisa dibuka aplikasinya aneh memang,-1,0.13253673244328074,-1_jaringan_kuota_sinyal_yg
kecewa banget udah beli kuota topping malah kuota utama terpakai kali padahal pakai vpn kuota utama habis kuota toping digunakan aplikasi byu dibuka komplen lewat aplikasi ig jawaban memuaskan solusi ataupun penyelesaian masalah mengecewakan,-1,0.05722498035934985,-1_jaringan_kuota_sinyal_yg
byu bagus banget sumpah trs nggk ngelag ku cuman beberapa daerah ngelag aman harga kuotanya murah murah sayang apknya nggk dibuka yaa min trs suruh log pas mau klik log tiba tiba keluar sendiri udh coba berkali kali sama udh coba hapus cache tetap nggk udh uninstall install tetap sama ituu gimana yaa min memori nggk penuh dann udh diupdate jugaa padahal,-1,0.05552467849754472,-1_jaringan_kuota_sinyal_yg
bintang dulu baru sebulan pakai byu beralih pengguna xl kalau banyak fitur menarik jaringan lancar harga paket murah terjangkau kendala rubah bintangnya semoga mengecewakan,-1,0.3527780354146121,-1_jaringan_kuota_sinyal_yg
kendala aman sekarang tinggal sinyalnya yg kaga jelas cuman buat nnton story wa loading lama banget padahal paket data gb byu perbaiki kaga jelas banget kecewa berat kalo gak diperbaiki,-1,0.3114925497232271,-1_jaringan_kuota_sinyal_yg
kalau sudahnmalam lewat jam malam jaringan lelet jam akses jam buka aplikasi u padahal membutuhkan buka aplikasi tambah kuota internet kacau secepatnya ditindak lanjutin kalau promo kuota oke pekerjaan,-1,0.3579738753652394,-1_jaringan_kuota_sinyal_yg
lag jaringannya lag baget aneh padahal banyak kolta waktu udah beli pulsa mau beli paket data ehh malah lag nunggu jam ku kira lag ternyata emang gitu sampe malam aku tunggu tetap ngga masuk pake wifi sodara buat beli paket data kalo tau gitu ngga usah nunggu lama terus sekarang banyak lag aneh baget dulu ngga pernah lag ko sekarang sering yaa padahal suka isi pulsa,-1,0.2405391923018049,-1_jaringan_kuota_sinyal_yg
kendala sering terjadi kesalahan server gangguan login sinkronisasi lemot cuma terlalu problem digunakan baik kedepannya aplikasi perlu ditingkatkan lebih nyaman pengguna,7,0.247335016825292,7_login_log_ulang_server
aplikasinya sering bermasalah data dihidupkan kadang masuk coba provider masuk enggak nampilin iklan memberikan tombol x respon fitur loadingnya kelamaan aplikasi udah kayak test benchmark hp masukan,0,0.4528638555427688,0_aplikasi_game_buka_jaringan
dulu byu cukup stabil sekarang sering lag terutama main game online aneh banget kalau direkam malah lancar kalau justru makin ngelag padahal sinyal penuh speedtest normal coba berbagai cara restart hp reset jaringan ubah apn bahkan pakai hp hasilnya tetap sama byu bermasalah cs memberi solusi cek sinyal tunggu perbaiki kalau terpaksa pindah provider lebih stabil,0,0.47217534641903075,0_aplikasi_game_buka_jaringan
kecewa berat pengalaman membeli paket kuota super kaget gb pembayaran selesaikan kuota masuk bukti pembayaran berikan tetap tindakan sekiranya uang kembalikan jikalau menang u sedang bermasalah masalahnya kali membeli paket masalahnya tetap sama merasa ditipu benarbenar kecewa u bukti transaksi pegang,1,0.41346246735076697,1_kartu_pembayaran_beli_sim
kecewa berat pengalaman membeli paket kuota super kaget gb pembayaran selesaikan kuota masuk bukti pembayaran berikan tetap tindakan sekiranya uang kembalikan jikalau memang u sedang bermasalah masalahnya kali membeli paket masalahnya tetap sama merasa ditipu benarbenar kecewa u bukti transaksi pegang,1,0.4210311212153567,1_kartu_pembayaran_beli_sim
byu aneh sering kali jaringan buruk kalau hospot teman jaringan makin buruk padahal baru isi data selalu leg kalau ruangan tertutup maupun ruangan terbuka seringkali kalau mau main game scroll ig selalu keluar rumah biar jaringan bagus jadi buat defeloper masalah cepat selesaikan soalnya udh pake byu selama bulan masalah terselesaikan jadi buat byu kalau pindah,0,0.41320420974026933,0_aplikasi_game_buka_jaringan
murah paket data sinyal kadang ilang kadang sinyal jadi e kalo terlalu banyak membuka padahal cuma buka google paling gua gk suka adlh tiba pulsa berkurang ribu ngisi pulsa apalah notif kepotong ribu event kek yg bermasalah karna otomatis ilang tu pulsa kek hantu padahal mau beli paket data malah kurang kurang ajarrr lelet banget respon tu yng tinggi napaaa,-1,0.2187749309771028,-1_jaringan_kuota_sinyal_yg
jujur aku byu bagus kouta murah aku udah setahunan pakai byu cuman kurangnya kadang ngelag kaya datanya mati sendiri jaringan telkomsel bagus byu ngelag cuman sih soalnya aku tinggalnya dekat tower jadi sinyalnya cukup bagus mungkin perlu perbaikan dikit aku taunya kalau byu sinyal lancar kalau tempat pasar gak jauh tower sekian,-1,0.04155741941811389,-1_jaringan_kuota_sinyal_yg
mengecewakan beli kuota gb pembayaran terselesaikan konfirmasi masuk dicoba melakukan pembayaran kedua kalinya masuk kuotanya status pembayaran yg pertama jadi jelas coba komplain cs mengecewakan responnya lebih baik pindah provider,1,0.7110708376788252,1_kartu_pembayaran_beli_sim
nomer aku tiba tiba hangus padahal sim tersambung terus hp ngga pernah aku lepas mode pesawat emang iya ngga pernah pakai internetnya pakai wifi sinyal jaringan hp cs nyaranin ganti nomer mana gonta ganti cs kayak kurang profesional mana balesnya lama hp mati keluar aplikasi ngulang provider kalau nomer mati bantu asalkan nomer pakai mana nomer aku pakai udah kesimpan banyak relasi buruk banget sumpah byu,-1,0.2814596885636291,-1_jaringan_kuota_sinyal_yg
perbaiki aplikasinya buka kebanyakan menu gak jelas buka aplikasi yg aman gak lag terus gaada tanggal kadaluwarsa paket jadi gak tau kapan berakhirnya kouta satu jaringannya tiba sering hilang habis bagus perbaiki,0,0.36739209017315083,0_aplikasi_game_buka_jaringan
maaf kak selalu kendal perbaiki soal jaringan leng padahal jaringan simpati loop bagus jaringannya tukar malah lemah kekuatan jaringan cukup saran jaringan perkuat jangkauan lebih luas kak min terimakasih atas kerja main game terlalu berat jaringan bantu pengguna kak sedang mengeluh perbaiki jaringan main games kak cukup terimakasih atas kerja sama,0,0.41013351874788856,0_aplikasi_game_buka_jaringan
pengguna kartu byu mohon maaf knp akhir sinyal selalu nge lag dev padahal pas awal memakai kartu baik gak kendala nge lag sangat menganggu sekali jadi mohon diperbaiki,2,1.0,2_sinyal_sinyalnya_ilang_hilang
sedikit masalah pihat byu sering mengalami masalah pembelian kuota aplikasi byu beli masuk kuotanya keterangannya tertulis menuggu lama menunggu tanggapan kuota beli masuk pembayaran sukses,-1,0.10229250925188116,-1_jaringan_kuota_sinyal_yg
kecewa banget beli kartu byu dulu sulit masalah registrasi sekarang sinyalnya jelek parah gak upload kirim video pendek sampe buka aplikasipun gambarnya gak muncul udah coba chat bantuan byu gak gak pernah sekecewa selama beli kartu semoga jadi bahan perbaikan kedepannya,1,0.35874883350819087,1_kartu_pembayaran_beli_sim
